voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
329,80,164,21,21,18.619047619,2.38095238095,727.0,658.523809524,68.4761904762
330,80,164,22,22,21.6363636364,0.363636363636,639.0,645.590909091,-6.59090909091
331,80,164,23,24,19.9583333333,4.04166666667,605.0,605.25,-0.25
332,80,164,24,18,19.6111111111,-1.61111111111,574.0,602.888888889,-28.8888888889
333,80,164,33,9,12.8888888889,-3.88888888889,667.0,634.555555556,32.4444444444
334,80,165,20,16,15.75,0.25,631.0,656.875,-25.875
335,80,165,21,21,18.2857142857,2.71428571429,696.0,666.904761905,29.0952380952
336,80,165,22,21,22.2857142857,-1.28571428571,671.0,667.095238095,3.90476190476
337,80,165,23,24,21.2916666667,2.70833333333,599.0,623.583333333,-24.5833333333
338,80,165,24,21,21.0476190476,-0.047619047619,594.0,624.666666667,-30.6666666667
339,80,166,19,11,12.1818181818,-1.18181818182,489.0,607.181818182,-118.181818182
340,80,166,20,16,15.875,0.125,597.0,645.9375,-48.9375
341,80,166,21,20,18.5,1.5,664.0,656.3,7.7
342,80,166,22,20,22.45,-2.45,627.0,671.55,-44.55
343,80,166,23,23,22.2173913043,0.782608695652,598.0,636.304347826,-38.3043478261
344,80,166,24,23,22.0,1.0,578.0,645.304347826,-67.3043478261
345,80,166,25,20,20.2,-0.2,655.0,636.65,18.35
346,80,166,26,12,19.1666666667,-7.16666666667,551.0,655.833333333,-104.833333333
